0,1,2,3,4,5,6,7,8,9
1,665,445,43,0,872,625,249,562,638
124,772,171,41,842,354,266,307,365,231
5,4,663,674,510,467,892,214,736,492
7,6,893,360,895,936,361,222,793,493
8,547,9,425,584,812,537,100,687,267
11,10,688,709,527,89,59,483,422,895
12,13,370,219,711,381,347,346,491,203
15,312,484,432,201,728,987,89,172,417
17,16,541,721,454,540,90,752,747,632
81,533,946,863,594,365,80,532,409,19
794,128,479,644,55,524,581,767,973,928
23,22,733,723,732,585,690,291,554,351
25,24,253,932,302,657,312,977,83,596
26,409,725,159,761,907,947,553,585,84
28,176,152,397,20,581,860,858,262,882
30,31,868,452,290,576,247,284,931,650
32,172,811,948,884,974,480,268,213,69
34,586,550,539,276,372,879,277,186,958
36,37,28,196,383,108,860,296,622,752
740,785,39,178,524,703,929,856,38,659
40,305,552,555,819,870,306,534,765,282
43,550,134,715,362,59,585,691,599,807
44,45,825,692,693,222,217,463,369,6
47,46,926,319,927,253,120,990,407,243
49,385,299,282,5,946,132,940,74,48
50,51,785,611,658,887,659,736,669,286
53,638,732,52,365,405,105,609,709,819
128,42,479,55,54,195,648,750,953,157
56,57,639,957,151,483,676,879,129,271
58,59,527,636,171,444,862,141,42,919
60,61,164,490,89,337,871,175,460,212
337,253,63,888,244,832,805,548,62,802
64,65,367,209,811,376,694,355,674,942
67,993,26,352,46,353,281,409,715,82
68,69,65,812,880,246,267,974,539,355
221,71,70,560,548,705,337,780,318,828
72,73,134,441,361,65,381,440,280,380
75,651,904,936,328,299,308,555,89,7
265,506,546,231,211,280,587,968,788,441
79,333,732,332,946,78,905,188,555,893
80,81,594,780,613,151,1,678,818,533
83,82,317,25,24,102,872,331,407,263
84,816,585,812,8,817,265,712,85,994
87,235,637,86,312,785,247,622,315,96
89,862,306,328,952,282,238,355,365,644
90,648,764,461,391,701,345,386,73,741
92,742,678,424,193,560,6,788,609,705
788,953,459,354,506,365,772,527,35,742
890,568,826,87,494,556,735,195,948,557
99,814,569,929,64,420,489,549,530,680
101,100,789,282,547,460,164,74,143,490
102,103,342,918,10,672,321,777,424,969
105,104,81,141,560,385,996,763,928,337
168,54,487,106,891,444,895,252,245,139
896,481,112,404,144,653,107,444,318,587
110,111,922,603,270,271,689,103,261,10
113,112,447,829,403,629,36,783,452,797
115,114,423,753,471,245,129,522,769,432
116,117,272,974,74,418,61,707,203,202
913,357,532,333,527,888,807,874,481,983
742,424,193,499,770,786,177,729,758,231
732,128,91,992,306,709,137,572,486,555
125,921,89,290,680,284,269,700,945,67
126,127,705,382,293,323,322,546,985,76
794,786,55,581,758,152,91,507,928,291
131,127,814,90,753,126,130,891,286,354
133,834,132,835,280,356,731,67,373,368
134,135,55,775,568,980,841,486,517,735
548,306,187,137,642,728,890,462,653,364
138,913,780,262,597,721,175,490,890,391
141,140,252,486,312,186,253,191,172,931
143,385,789,704,664,142,446,716,571,434
145,772,796,563,515,898,679,277,490,444
147,146,954,172,675,242,805,65,965,291
149,148,394,480,796,943,42,601,247,842
998,637,618,728,811,376,441,519,62,150
152,818,211,249,34,136,516,174,465,320
437,197,429,314,973,154,470,471,156,866
156,635,846,190,244,55,658,672,334,609
750,732,715,973,343,404,620,214,745,236
160,161,263,235,818,137,696,412,637,109
163,162,843,992,951,880,597,579,133,256
165,716,789,498,164,356,978,185,833,848
167,801,657,968,76,819,450,763,42,982
169,16,168,522,160,461,273,895,435,764
170,998,440,930,474,459,207,851,206,196
172,235,487,244,368,173,601,648,291,890
617,642,268,539,352,550,161,870,818,353
176,334,411,28,873,922,703,410,495,594
521,99,179,315,39,178,709,16,328,943
181,180,724,764,100,604,203,253,844,264
183,633,20,752,428,361,891,766,429,7
184,971,322,56,787,401,65,92,705,293
186,982,18,602,899,323,630,526,462,560
188,888,555,771,905,94,124,786,298,424
190,672,548,98,894,721,739,487,473,738
720,232,615,182,861,98,190,707,860,560
194,195,20,556,493,389,290,514,204,205
197,822,18,121,368,903,272,49,920,337
199,198,507,89,806,870,218,538,991,796
55,459,581,157,532,813,91,42,787,506
203,202,838,887,629,505,217,941,164,134
205,426,490,554,886,165,239,68,368,369
207,206,165,584,712,974,834,85,975,598
209,208,246,184,65,18,73,0,459,175
210,211,164,237,187,104,808,712,227,226
212,213,463,267,724,374,528,60,579,561
914,794,55,42,980,981,581,473,915,575
216,217,10,444,377,103,307,367,745,11
796,870,358,786,459,171,717,231,405,424
951,283,695,534,298,382,127,586,340,126
283,282,222,946,936,49,398,651,337,813
225,224,618,924,932,553,801,842,476,658
227,226,440,27,661,616,179,310,654,655
228,229,344,635,945,768,895,565,876,167
230,371,812,180,370,181,567,948,267,664
841,661,233,232,707,388,658,479,86,195
235,234,229,488,150,921,775,363,864,637
889,236,231,698,826,846,542,174,76,983
239,238,849,418,314,508,498,205,877,580
240,610,494,891,501,668,191,500,617,922
527,575,136,324,770,177,842,742,253,122
244,245,90,706,826,473,386,633,754,387
247,246,323,943,14,328,306,946,391,487
